n,p,ncpus,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
500,1.000000,2,1,609920,1,250000,1,1,0.060238,0.011548,0.000000,0.000120,0.000040,0.071949
500,1.000000,1,4,609920,1,250000,1,1,0.041759,0.006749,0.000104,0.000000,0.000000,0.048614
500,1.000000,2,2,609920,1,250000,1,1,0.043070,0.005851,0.000044,0.001686,0.000038,0.050691
500,1.000000,1,8,609920,1,250000,1,1,0.052816,0.011675,0.000213,0.000000,0.000000,0.064706
500,1.000000,2,4,609920,1,250000,1,1,0.045441,0.003695,0.000105,0.000488,0.000042,0.049773
1000,0.000000,1,1,609920,0,0,0,0,0.066784,0.003220,0.000000,0.000000,0.000000,0.070004
500,1.000000,2,8,609920,1,250000,1,1,0.044963,0.007194,0.000223,0.001368,0.000042,0.053792
1000,0.000000,1,2,609920,0,0,0,0,0.064580,0.001843,0.000006,0.000000,0.000000,0.066430
1000,0.000000,2,1,609920,0,0,0,0,0.074150,0.001837,0.000000,0.000234,0.000006,0.076227
1000,0.000000,1,4,609920,0,0,0,0,0.066300,0.001295,0.000013,0.000000,0.000000,0.067608
1000,0.000000,2,2,609920,0,0,0,0,0.073167,0.001106,0.000007,0.000644,0.000007,0.074931
1000,0.000000,1,8,609920,0,0,0,0,0.065455,0.002948,0.000032,0.000000,0.000000,0.068436
1000,0.000000,2,4,609920,0,0,0,0,0.072625,0.000829,0.000014,0.000822,0.000007,0.074296
1000,0.000000,2,8,609920,0,0,0,0,0.071780,0.000972,0.000031,0.001275,0.000007,0.074066
1000,0.200000,2,1,609920,121805,22,0,0,0.078204,0.553676,0.000000,0.007756,0.003189,0.644500
1000,0.200000,1,1,609920,121805,22,0,0,0.069645,1.035668,0.000004,0.000000,0.000000,1.107055
1000,0.200000,2,2,609920,121805,22,0,0,0.075562,0.285964,0.001676,0.012623,0.003282,0.381768
1000,0.200000,1,2,609920,121805,22,0,0,0.080631,0.528273,0.003037,0.000000,0.000000,0.613533
1000,0.200000,2,4,609920,121805,22,0,0,0.112004,0.158145,0.004512,0.007915,0.003196,0.290345
1000,0.200000,1,4,609920,121805,22,0,0,0.068922,0.292579,0.006486,0.000000,0.000000,0.371350
1000,0.200000,2,8,609920,121805,22,0,0,0.074719,0.086480,0.009094,0.015856,0.003320,0.197742
1000,0.200000,1,8,609920,121805,22,0,0,0.069236,0.172707,0.012369,0.000000,0.000000,0.260942
1000,0.400000,2,1,609920,105860,96,0,0,0.079372,0.497885,0.000000,0.011805,0.015261,0.606224
1000,0.400000,2,2,609920,105860,96,0,0,0.091716,0.260273,0.006692,0.009843,0.015144,0.386567
1000,0.400000,1,1,609920,105860,96,0,0,0.085298,0.931801,0.000000,0.000000,0.000000,1.017986
1000,0.400000,2,4,609920,105860,96,0,0,0.091487,0.143860,0.020689,0.013423,0.015326,0.289862
1000,0.400000,2,8,609920,105860,96,0,0,0.080562,0.081895,0.050472,0.018400,0.015488,0.255939
1000,0.400000,1,2,609920,105860,96,0,0,0.100403,0.499838,0.014181,0.000000,0.000000,0.616210
1000,0.600000,2,1,609920,25085,463210,1,1,0.079007,0.156535,0.000000,0.008874,0.016189,0.261068
1000,0.400000,1,4,609920,105860,96,0,0,0.074339,0.266236,0.026535,0.000000,0.000000,0.370842
1000,0.600000,2,2,609920,25085,463210,1,1,0.101619,0.082277,0.008532,0.010117,0.016113,0.219348
1000,0.400000,1,8,609920,105860,96,0,0,0.084182,0.146085,0.052633,0.000000,0.000000,0.290462
1000,0.600000,2,4,609920,25085,463210,1,1,0.080060,0.046037,0.023276,0.007580,0.016285,0.174334
1000,0.600000,1,1,609920,25085,463210,1,1,0.073415,0.290220,0.000000,0.000000,0.000000,0.363870
1000,0.600000,2,8,609920,25085,463210,1,1,0.079475,0.026377,0.058486,0.014443,0.016175,0.197067
1000,0.600000,1,2,609920,25085,463210,1,1,0.086417,0.152866,0.015179,0.000000,0.000000,0.254897
1000,0.800000,2,1,609920,1395,798721,1,1,0.101815,0.053458,0.000000,0.001170,0.001780,0.158246
1000,0.800000,2,2,609920,1395,798721,1,1,0.080328,0.028939,0.000732,0.001638,0.001779,0.113442
1000,0.600000,1,4,609920,25085,463210,1,1,0.084834,0.085930,0.030808,0.000000,0.000000,0.202414
1000,0.800000,2,4,609920,1395,798721,1,1,0.081382,0.017620,0.001591,0.001109,0.001788,0.103525
1000,0.600000,1,8,609920,25085,463210,1,1,0.072128,0.050839,0.059623,0.000000,0.000000,0.184287
1000,0.800000,2,8,609920,1395,798721,1,1,0.076362,0.011372,0.004781,0.002277,0.001855,0.096749
1000,0.800000,1,1,609920,1395,798721,1,1,0.082162,0.111300,0.000000,0.000000,0.000000,0.193471
1000,1.000000,2,1,609920,1,1000000,1,1,0.076368,0.044841,0.000000,0.001543,0.000074,0.122830
1000,0.800000,1,2,609920,1395,798721,1,1,0.069251,0.053535,0.001692,0.000000,0.000000,0.124499
1000,1.000000,2,2,609920,1,1000000,1,1,0.074010,0.023349,0.000075,0.002620,0.000074,0.100132
1000,0.800000,1,4,609920,1395,798721,1,1,0.069481,0.029704,0.003144,0.000000,0.000000,0.102365
1000,1.000000,2,4,609920,1,1000000,1,1,0.074108,0.012950,0.000205,0.001685,0.000086,0.089038
1000,0.800000,1,8,609920,1395,798721,1,1,0.068450,0.032745,0.005479,0.000000,0.000000,0.106740
1000,1.000000,2,8,609920,1,1000000,1,1,0.088020,0.013284,0.000453,0.001835,0.000082,0.103680
1000,1.000000,1,1,609920,1,1000000,1,1,0.068169,0.094990,0.000000,0.000000,0.000000,0.163162
1500,0.000000,2,1,609920,0,0,0,0,0.122335,0.004726,0.000000,0.002079,0.000011,0.129152
1000,1.000000,1,2,609920,1,1000000,1,1,0.078621,0.045369,0.000079,0.000000,0.000000,0.124073
1500,0.000000,2,2,609920,0,0,0,0,0.135660,0.003148,0.000010,0.002431,0.000009,0.141259
1000,1.000000,1,4,609920,1,1000000,1,1,0.067421,0.024793,0.000206,0.000000,0.000000,0.092425
1500,0.000000,2,4,609920,0,0,0,0,0.116179,0.001641,0.000021,0.003335,0.000010,0.121187
1000,1.000000,1,8,609920,1,1000000,1,1,0.067362,0.026979,0.000434,0.000000,0.000000,0.094779
1500,0.000000,2,8,609920,0,0,0,0,0.132396,0.007246,0.000045,0.001479,0.000010,0.141176
1500,0.000000,1,1,609920,0,0,0,0,0.106110,0.008037,0.000000,0.000000,0.000000,0.114148
1500,0.000000,1,2,609920,0,0,0,0,0.104828,0.004399,0.000010,0.000000,0.000000,0.109237
1500,0.000000,1,4,609920,0,0,0,0,0.106056,0.002632,0.000020,0.000000,0.000000,0.108709
1500,0.000000,1,8,609920,0,0,0,0,0.105037,0.008835,0.000044,0.000000,0.000000,0.113915
1500,0.200000,2,1,609920,273720,22,0,0,0.125779,1.848442,0.000001,0.011042,0.006436,1.995988
1500,0.200000,2,2,609920,273720,22,0,0,0.138803,0.946413,0.005986,0.051233,0.006748,1.157485
1500,0.200000,2,4,609920,273720,22,0,0,0.125864,0.507065,0.009548,0.042814,0.006347,0.701800
1500,0.200000,1,1,609920,273720,22,0,0,0.123353,3.456845,0.000004,0.000000,0.000000,3.584260
1500,0.200000,2,8,609920,273720,22,0,0,0.122886,0.271755,0.022133,0.037789,0.006109,0.478701
1500,0.200000,1,2,609920,273720,22,0,0,0.112573,1.735634,0.009098,0.000000,0.000000,1.862980
1500,0.400000,2,1,609920,238871,141,0,0,0.145569,1.647194,0.000001,0.026681,0.031789,1.856043
1500,0.200000,1,4,609920,273720,22,0,0,0.124169,0.968556,0.013456,0.000000,0.000000,1.114304
1500,0.400000,2,2,609920,238871,141,0,0,0.181258,0.851466,0.015921,0.061968,0.037186,1.161254
1500,0.200000,1,8,609920,273720,22,0,0,0.123321,0.516122,0.024893,0.000000,0.000000,0.679374
1500,0.400000,2,4,609920,238871,141,0,0,0.134041,0.462953,0.051102,0.024461,0.033341,0.718614
1500,0.400000,2,8,609920,238871,141,0,0,0.139138,0.250355,0.110987,0.046607,0.030695,0.598965
1500,0.600000,2,1,609920,56702,1057325,1,1,0.149172,0.486873,0.000000,0.007621,0.037420,0.682300
1500,0.600000,2,2,609920,56702,1057325,1,1,0.152914,0.255830,0.019483,0.013010,0.038236,0.481230
1500,0.400000,1,1,609920,238871,141,0,0,0.134596,3.065782,0.000004,0.000000,0.000000,3.203265
1500,0.600000,2,4,609920,56702,1057325,1,1,0.139192,0.142131,0.056002,0.015438,0.037491,0.393140
1500,0.600000,2,8,609920,56702,1057325,1,1,0.134090,0.079736,0.136673,0.044014,0.037606,0.437191
1500,0.800000,2,1,609920,3141,1797186,1,1,0.125425,0.140704,0.000000,0.002249,0.002923,0.271344
1500,0.800000,2,2,609920,3141,1797186,1,1,0.136404,0.074483,0.001712,0.002337,0.002924,0.217936
1500,0.400000,1,2,609920,238871,141,0,0,0.121852,1.574013,0.037022,0.000000,0.000000,1.739101
1500,0.800000,2,4,609920,3141,1797186,1,1,0.136955,0.041208,0.004868,0.002413,0.002946,0.188504
1500,0.800000,2,8,609920,3141,1797186,1,1,0.126063,0.024771,0.011583,0.015131,0.002909,0.180657
1500,1.000000,2,1,609920,1,2250000,1,1,0.127353,0.112835,0.000000,0.001454,0.000110,0.241758
1500,0.400000,1,4,609920,238871,141,0,0,0.126930,0.867656,0.067820,0.000004,0.000000,1.073467
1500,1.000000,2,2,609920,1,2250000,1,1,0.163911,0.059737,0.000113,0.001812,0.000121,0.225700
1500,1.000000,2,4,609920,1,2250000,1,1,0.121525,0.032342,0.000302,0.001469,0.000123,0.155767
1500,1.000000,2,8,609920,1,2250000,1,1,0.118620,0.018220,0.000664,0.013521,0.000110,0.151140
1500,0.400000,1,8,609920,238871,141,0,0,0.134896,0.468253,0.123888,0.000000,0.000000,0.744179
2000,0.000000,2,1,609920,0,0,0,0,0.201661,0.007503,0.000000,0.005372,0.000014,0.214551
2000,0.000000,2,2,609920,0,0,0,0,0.184836,0.004194,0.000013,0.003867,0.000015,0.192926
2000,0.000000,2,4,609920,0,0,0,0,0.178697,0.002594,0.000029,0.004188,0.000014,0.185522
1500,0.600000,1,1,609920,56702,1057325,1,1,0.123327,0.925705,0.000004,0.000000,0.000000,1.049859
2000,0.000000,2,8,609920,0,0,0,0,0.177049,0.008106,0.000062,0.001417,0.000015,0.186650
1500,0.600000,1,2,609920,56702,1057325,1,1,0.144828,0.465532,0.035209,0.000000,0.000000,0.646710
1500,0.600000,1,4,609920,56702,1057325,1,1,0.122854,0.257960,0.072063,0.000000,0.000000,0.454962
1500,0.600000,1,8,609920,56702,1057325,1,1,0.131894,0.152474,0.142467,0.000000,0.000000,0.430804
1500,0.800000,1,1,609920,3141,1797186,1,1,0.115304,0.279808,0.000000,0.000000,0.000000,0.395127
1500,0.800000,1,2,609920,3141,1797186,1,1,0.114928,0.142413,0.002733,0.000000,0.000000,0.260114
1500,0.800000,1,4,609920,3141,1797186,1,1,0.114861,0.076553,0.005738,0.000000,0.000000,0.197237
1500,0.800000,1,8,609920,3141,1797186,1,1,0.113729,0.054471,0.011611,0.000000,0.000000,0.179969
1500,1.000000,1,1,609920,1,2250000,1,1,0.109787,0.235146,0.000000,0.000000,0.000000,0.344939
1500,1.000000,1,2,609920,1,2250000,1,1,0.121568,0.115220,0.000120,0.000000,0.000000,0.236913
2000,0.200000,2,1,609920,485573,26,0,0,0.204825,4.361429,0.000001,0.096272,0.012041,4.682039
1500,1.000000,1,4,609920,1,2250000,1,1,0.110886,0.062096,0.000303,0.000000,0.000000,0.173290
1500,1.000000,1,8,609920,1,2250000,1,1,0.110408,0.045669,0.000660,0.000000,0.000000,0.156743
2000,0.000000,1,1,609920,0,0,0,0,0.162948,0.014433,0.000000,0.000000,0.000000,0.177382
2000,0.000000,1,2,609920,0,0,0,0,0.168715,0.008331,0.000013,0.000000,0.000000,0.177060
2000,0.000000,1,4,609920,0,0,0,0,0.170402,0.004464,0.000028,0.000000,0.000000,0.174894
