n,p,ncpus,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
2000,0.800000,1,1,241311,5647,3191464,1,1,0.187186,0.519837,0.000000,0.000000,0.000000,0.707072
2000,0.800000,1,2,241311,5647,3191464,1,1,0.176302,0.266454,0.003579,0.000000,0.000000,0.446416
2000,0.800000,1,4,241311,5647,3191464,1,1,0.177436,0.149093,0.009042,0.000000,0.000000,0.335728
2000,0.800000,1,8,241311,5647,3191464,1,1,0.176520,0.079922,0.019325,0.000000,0.000000,0.276069
2000,1.000000,1,1,241311,1,4000000,1,1,0.169538,0.400674,0.000000,0.000000,0.000000,0.570220
2000,1.000000,1,2,241311,1,4000000,1,1,0.167854,0.208366,0.000147,0.000000,0.000000,0.376374
2000,1.000000,1,4,241311,1,4000000,1,1,0.172613,0.112676,0.000393,0.000000,0.000000,0.285691
2000,1.000000,1,8,241311,1,4000000,1,1,0.168567,0.060752,0.000904,0.000000,0.000000,0.230233
2500,0.000000,1,1,241311,0,0,0,0,0.233459,0.022193,0.000000,0.000000,0.000000,0.255653
2500,0.000000,1,2,241311,0,0,0,0,0.244884,0.011660,0.000016,0.000000,0.000000,0.256560
2500,0.000000,1,4,241311,0,0,0,0,0.233720,0.006644,0.000033,0.000000,0.000000,0.240397
2500,0.000000,1,8,241311,0,0,0,0,0.245091,0.004579,0.000068,0.000000,0.000000,0.249738
2500,0.200000,1,1,241311,759542,28,0,0,0.252820,16.168557,0.000001,0.000000,0.000000,16.428153
2500,0.200000,1,2,241311,759542,28,0,0,0.277419,8.320244,0.021523,0.000000,0.000000,8.630953
2500,0.200000,1,4,241311,759542,28,0,0,0.255149,4.457814,0.041175,0.000000,0.000000,4.777520
2500,0.200000,1,8,241311,759542,28,0,0,0.275969,2.398942,0.082167,0.000000,0.000000,2.804144
2500,0.400000,1,1,241311,663708,139,0,0,0.288121,14.112088,0.000001,0.000000,0.000000,14.406156
2500,0.400000,1,2,241311,663708,139,0,0,0.305892,7.898559,0.091534,0.000000,0.000000,8.309230
2500,0.400000,1,4,241311,663708,139,0,0,0.287955,3.956996,0.183629,0.000000,0.000000,4.454908
2500,0.400000,1,8,241311,663708,139,0,0,0.299337,2.142037,0.371339,0.000000,0.000000,2.864959
2500,0.600000,1,1,241311,159114,2865668,1,1,0.293959,3.938911,0.000001,0.000000,0.000000,4.234743
2500,0.600000,1,2,241311,159114,2865668,1,1,0.278917,1.972579,0.104630,0.000000,0.000000,2.359301
2500,0.600000,1,4,241311,159114,2865668,1,1,0.291076,1.095936,0.207713,0.000000,0.000000,1.600881
