n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
2000,0.600000,3,2,241311,101346,1828500,1,1,0.218934,0.361293,0.031924,0.048272,0.095262,0.759475
2000,0.600000,3,4,241311,101346,1828500,1,1,0.225613,0.202914,0.097753,0.055586,0.095487,0.682926
2000,0.600000,3,8,241311,101346,1828500,1,1,0.229475,0.114095,0.234512,0.056778,0.095490,0.739494
2000,0.800000,3,1,241311,5647,3191464,1,1,0.207352,0.181024,0.000000,0.003835,0.006507,0.398861
2000,0.800000,3,2,241311,5647,3191464,1,1,0.222835,0.094950,0.002329,0.003648,0.006427,0.330373
2000,0.800000,3,4,241311,5647,3191464,1,1,0.222152,0.050794,0.008008,0.015569,0.006359,0.303119
2000,0.800000,3,8,241311,5647,3191464,1,1,0.202168,0.029395,0.019698,0.006015,0.006373,0.264003
2000,1.000000,3,1,241311,1,4000000,1,1,0.187279,0.135180,0.000000,0.001503,0.000243,0.324211
2000,1.000000,3,2,241311,1,4000000,1,1,0.194118,0.069186,0.000133,0.005473,0.000241,0.269158
2000,1.000000,3,4,241311,1,4000000,1,1,0.204562,0.038219,0.000380,0.001562,0.000240,0.244970
2000,1.000000,3,8,241311,1,4000000,1,1,0.182548,0.021276,0.000895,0.003348,0.000235,0.208308
2500,0.000000,3,1,241311,0,0,0,0,0.261819,0.007532,0.000000,0.003897,0.000027,0.273275
2500,0.000000,3,2,241311,0,0,0,0,0.268118,0.004047,0.000014,0.003363,0.000026,0.275569
2500,0.000000,3,4,241311,0,0,0,0,0.269989,0.002528,0.000033,0.004406,0.000028,0.276984
2500,0.000000,3,8,241311,0,0,0,0,0.268453,0.002406,0.000069,0.003423,0.000026,0.274377
2500,0.200000,3,1,241311,759542,28,0,0,0.324023,5.258597,0.000001,0.110490,0.028249,5.740025
2500,0.200000,3,2,241311,759542,28,0,0,0.299179,2.639531,0.011225,0.391450,0.027214,3.394724
2500,0.200000,3,4,241311,759542,28,0,0,0.312761,1.472993,0.029360,0.155155,0.026458,2.032212
2500,0.200000,3,8,241311,759542,28,0,0,0.304948,0.805327,0.074098,0.144985,0.026880,1.415449
2500,0.400000,3,1,241311,663708,139,0,0,0.339349,4.678369,0.000001,0.159469,0.129346,5.325103
2500,0.400000,3,2,241311,663708,139,0,0,0.326274,2.391257,0.047683,0.245456,0.131289,3.170964
2500,0.400000,3,4,241311,663708,139,0,0,0.312066,1.328270,0.138259,0.176446,0.129127,2.124924
2500,0.400000,3,8,241311,663708,139,0,0,0.355058,0.727483,0.314735,0.227060,0.128762,1.819523
2500,0.600000,3,1,241311,159114,2865668,1,1,0.312507,1.299725,0.000001,0.079406,0.153959,1.850290
2500,0.600000,3,2,241311,159114,2865668,1,1,0.315712,0.668125,0.051986,0.102920,0.152984,1.298842
2500,0.600000,3,4,241311,159114,2865668,1,1,0.318826,0.374256,0.155448,0.089817,0.154173,1.104750
2500,0.600000,3,8,241311,159114,2865668,1,1,0.333017,0.208523,0.374187,0.116543,0.155553,1.209637
2500,0.800000,3,1,241311,8892,4988839,1,1,0.310634,0.278824,0.000000,0.005052,0.012046,0.606773
2500,0.800000,3,2,241311,8892,4988839,1,1,0.314205,0.144277,0.005029,0.010900,0.012253,0.486904
2500,0.800000,3,4,241311,8892,4988839,1,1,0.293073,0.086802,0.012285,0.016787,0.012548,0.421788
2500,0.800000,3,8,241311,8892,4988839,1,1,0.315568,0.046370,0.025936,0.006884,0.012118,0.407359
2500,1.000000,3,1,241311,1,6250000,1,1,0.279937,0.206559,0.000000,0.001637,0.000293,0.488434
2500,1.000000,3,2,241311,1,6250000,1,1,0.279434,0.108030,0.000174,0.004970,0.000293,0.392909
2500,1.000000,3,4,241311,1,6250000,1,1,0.280586,0.058855,0.000479,0.006824,0.000296,0.347050
2500,1.000000,3,8,241311,1,6250000,1,1,0.282467,0.032120,0.001134,0.005848,0.000294,0.321872
3000,0.000000,3,1,241311,0,0,0,0,0.355751,0.010799,0.000000,0.006119,0.000032,0.372701
3000,0.000000,3,2,241311,0,0,0,0,0.356404,0.005779,0.000018,0.003514,0.000033,0.365749
3000,0.000000,3,4,241311,0,0,0,0,0.367671,0.003545,0.000038,0.004888,0.000033,0.376176
3000,0.000000,3,8,241311,0,0,0,0,0.392767,0.002850,0.000081,0.004482,0.000034,0.400215
3000,0.200000,3,1,241311,1092977,27,0,0,0.420362,9.118880,0.000001,0.246419,0.043176,9.853539
3000,0.200000,3,2,241311,1092977,27,0,0,0.417525,4.672512,0.015792,0.343217,0.043178,5.525653
3000,0.200000,3,4,241311,1092977,27,0,0,0.393347,2.525416,0.044358,0.303000,0.042480,3.359229
3000,0.200000,3,8,241311,1092977,27,0,0,0.402802,1.379812,0.103273,0.208833,0.042156,2.220849
3000,0.400000,3,1,241311,954788,146,0,0,0.431965,8.042685,0.000001,0.223321,0.192923,8.917508
3000,0.400000,3,2,241311,954788,146,0,0,0.438664,4.192141,0.065686,0.314648,0.192111,5.240396
3000,0.400000,3,4,241311,954788,146,0,0,0.449651,2.352610,0.198011,0.211118,0.191191,3.459077
3000,0.400000,3,8,241311,954788,146,0,0,0.439526,1.230859,0.454467,0.309100,0.191010,2.738574
3000,0.600000,3,1,241311,228183,4055599,1,1,0.443819,2.203562,0.000001,0.060511,0.223838,2.938113
